"","term","estimate","std.error","statistic","p.value","Response","pitch","type"
"19","zone16",-0.649437864609915,1.0283440244114,-0.631537548906979,0.527689105785012,"whiff","slider","complex"
"20","zone17",0.0938050288027068,0.191858643703675,0.488927822024993,0.624892797684094,"whiff","slider","complex"
"21","pfx_total",-0.656536393075115,0.149067449077977,-4.40429079008176,0.0000106130505268216,"whiff","slider","complex"
"22","speed_change",0.0539458802375867,0.0213653378435038,2.52492521450996,0.011572291275386,"whiff","slider","complex"
"23","break_change",0.471820902033658,0.152391698799328,3.09610632174237,0.00196080040066835,"whiff","slider","complex"
"24","prev_pitchFastball",-0.140972656057621,0.0449344566576146,-3.13729521938553,0.00170514341108701,"whiff","slider","complex"
"25","prev_pitchNone",-0.344750319187541,0.0534800904587512,-6.44633014324171,0.000000000114590906685919,"whiff","slider","complex"
"26","prev_pitchOff Speed",-0.00889866245459219,0.0978807790302776,-0.0909132777931769,0.927561499732532,"whiff","slider","complex"
"27","speed_fb_diff",-0.0646282402689799,0.0118635401139126,-5.44763533046845,0.0000000510438756234611,"whiff","slider","complex"
"28","release_spin_rate",0.000371825532224324,0.0000968303943424672,3.83996713789331,0.000123050780476854,"whiff","slider","complex"
"29","I(plate_z^2)",-0.324296470427069,0.0436269612024666,-7.43339580591126,0.000000000000105844572375379,"whiff","slider","complex"
"30","pred_bwhiff",18.5254404978483,0.930341749258644,19.9125111956016,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317018905964879,"whiff","slider","complex"
"31","(Intercept)",-13.5919382892519,0.80889085282368,-16.8031796154019,0.00000000000000000000000000000000000000000000000000000000000000231305199663339,"whiff","fastball","complex"
"32","pitch_speed",0.0552552405471067,0.00785490088496312,7.03449239606365,0.00000000000199987707493058,"whiff","fastball","complex"
"33","pfx_x",0.634908992280989,0.0806150751097367,7.87580972190032,0.00000000000000338543124574677,"whiff","fastball","complex"
"34","pfx_z",-1.1544701066751,0.117259884162388,-9.84539695669769,0.0000000000000000000000717554027406314,"whiff","fastball","complex"
"35","plate_x",-0.0572908303133645,0.063592666120495,-0.900903104216612,0.367639840600132,"whiff","fastball","complex"
"36","plate_z",2.57294412185815,0.235844718592119,10.9094837366612,0.00000000000000000000000000103844395011217,"whiff","fastball","complex"
"37","zone1",0.19971838594079,0.099244319800989,2.01239110048089,0.0441787258866465,"whiff","fastball","complex"
"38","zone2",0.201983557483721,0.0818785298725558,2.46686839392584,0.0136300442741012,"whiff","fastball","complex"
"39","zone3",0.398349708181264,0.0926472616250552,4.29963823208711,0.0000171077142343536,"whiff","fastball","complex"
"40","zone4",-0.402627830688928,0.111365116067987,-3.61538554355861,0.000299900956713677,"whiff","fastball","complex"
"41","zone6",0.227268265321436,0.0857170453391576,2.6513777326575,0.00801641316859294,"whiff","fastball","complex"
"42","zone7",0.22869295166178,0.144525321435888,1.58237289763254,0.113564468055621,"whiff","fastball","complex"
"43","zone8",-0.136880580293313,0.12180957528991,-1.12372594656482,0.261129305559933,"whiff","fastball","complex"
"44","zone9",-0.107925494545266,0.127213413743347,-0.848381403890367,0.396225595684189,"whiff","fastball","complex"
"45","zone11",0.404383839512101,0.112498759182237,3.5945626640827,0.000324936933087949,"whiff","fastball","complex"
"46","zone12",0.164869832083658,0.109643654011978,1.50368786565292,0.132661755071297,"whiff","fastball","complex"
"47","zone13",1.0843781585321,0.140967009347465,7.69242508266062,0.0000000000000144372020060927,"whiff","fastball","complex"
"48","zone14",0.45382871983962,0.134635134554466,3.37080451801402,0.000749490204539473,"whiff","fastball","complex"
"49","zone16",-1.71732466379231,0.335489277101462,-5.11886602942883,0.000000307378203146802,"whiff","fastball","complex"
"50","zone17",1.24376024869897,0.409063274009341,3.0405082238465,0.00236179241590667,"whiff","fastball","complex"
