"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone12",-0.348329726750357,0.531665724308093,-0.655166791509216,0.51236037275362,"barrel","R","FF"
"zone13",1.40263474013683,0.424968015349934,3.30056542956969,0.000964902118301135,"barrel","R","FF"
"zone14",-0.219813063168849,0.779401621446891,-0.282027977771954,0.777922057546962,"barrel","R","FF"
"I(dist_x^2)",-1.03776358100123,0.164315328144026,-6.31568334325817,0.000000000268970293061075,"barrel","R","FF"
"I(dist_z^2)",-1.17464408554575,0.177375376436305,-6.62236274924867,0.0000000000353502243229702,"barrel","R","FF"
"pred",186.21373707153,11.1562848850603,16.6913752194419,0.0000000000000000000000000000000000000000000000000000000000000151441802860617,"barrel","R","FF"
"(Intercept)",-3.77065950677025,0.853535937956204,-4.41769272867305,0.00000997601046498941,"benefit","R","FF"
"pitch_speed",-0.0424697683474045,0.00763218381268008,-5.56456309095248,0.000000026281003403861,"benefit","R","FF"
"pfx_x",-0.0363855574109085,0.0109816072433385,-3.31331804212722,0.000921960753007347,"benefit","R","FF"
"pfx_z",-0.0442887538823476,0.0228002654704162,-1.94246658837429,0.0520806409382557,"benefit","R","FF"
"pfx_total",0.0857985183018679,0.0271693194594348,3.15791930048044,0.00158899538885734,"benefit","R","FF"
"zone1",-0.000170758267518974,0.132536219832798,-0.00128838945108285,0.99897201423308,"benefit","R","FF"
"zone2",-0.202591797619029,0.110278268672475,-1.83709628431622,0.0661956826128583,"benefit","R","FF"
"zone3",0.0419657341494916,0.132877868884639,0.315821848301354,0.752137733695861,"benefit","R","FF"
"zone4",0.0676536926362159,0.110592689159153,0.611737476957956,0.540711462105805,"benefit","R","FF"
"zone6",0.333371470846432,0.117370597420706,2.84033206077573,0.00450665952364955,"benefit","R","FF"
"zone7",0.661094032239258,0.148339980656505,4.45661398439899,0.000008326433751181,"benefit","R","FF"
"zone8",0.269727062811002,0.128177989704444,2.1043165322919,0.0353508448803426,"benefit","R","FF"
"zone9",0.917275356409241,0.16121083455756,5.68991134452398,0.0000000127105346103556,"benefit","R","FF"
"zone11",-0.622266123319402,0.144914438420455,-4.29402432291776,0.0000175463239211723,"benefit","R","FF"
"zone12",-0.586275904205298,0.1451765053135,-4.03836628343731,0.0000538247612773169,"benefit","R","FF"
"zone13",-0.439090181237558,0.156036342768287,-2.81402507548901,0.00489254118024608,"benefit","R","FF"
"zone14",-0.575122231407451,0.165650509320111,-3.47190137698918,0.000516786151389622,"benefit","R","FF"
