"x","z","phand","response","bhand","pitch","pred","zone","N"
-2,-1.6,"right","barrel","right","changeup",-11.7246585895598,14,1476
-2,-1.6,"right","barrel","right","curveball",-14.3888659895983,14,3107
-2,-1.6,"right","barrel","right","cutter",-10.7086273538572,14,3843
-2,-1.6,"right","barrel","right","fastball",-7.36957224970309,14,4170
-2,-1.6,"right","barrel","right","sinker",-8.09327094751088,14,2446
-2,-1.6,"right","barrel","right","slider",-10.9532313442765,14,10632
-2,-1.6,"right","barrel","right","splitter",-14.2990700358623,14,604
-2,-1.6,"right","benefit","left","changeup",-5.65349376552991,14,2301
-2,-1.6,"right","benefit","left","curveball",-4.11758942411894,14,3197
-2,-1.6,"right","benefit","left","cutter",-4.18944987858976,14,1858
-2,-1.6,"right","benefit","left","fastball",-6.63108632422392,14,1975
-2,-1.6,"right","benefit","left","sinker",-6.49179138777563,14,1118
-2,-1.6,"right","benefit","left","slider",-2.25557737055072,14,3081
-2,-1.6,"right","benefit","left","splitter",-5.0944371289151,14,610
-2,-1.6,"right","benefit","right","changeup",-3.97575720791894,14,1476
-2,-1.6,"right","benefit","right","curveball",-3.38510288971914,14,3107
-2,-1.6,"right","benefit","right","cutter",-3.601597332137,14,3843
