"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"198","pitch_speed",0.050994620035654,0.0117524541141825,4.33906140285333,0.0000143092541427616,"whiff","left","slider"
"199","zone1",0.50042015033742,0.342867097150825,1.45951639715749,0.144423030916906,"whiff","left","slider"
"200","zone2",0.685344750967249,0.279725524030414,2.45006154995256,0.0142831796782133,"whiff","left","slider"
"201","zone3",-0.528688793956952,0.374065609637724,-1.41335845994765,0.157550353062687,"whiff","left","slider"
"202","zone4",0.208210705880795,0.26142251398426,0.796452848331691,0.42576887134274,"whiff","left","slider"
"203","zone6",-1.04638159982039,0.2759816969319,-3.79148911486905,0.000149746712694713,"whiff","left","slider"
"204","zone7",-0.475840560865911,0.311155554878099,-1.52926905339142,0.126197758102348,"whiff","left","slider"
"205","zone8",-0.567066267877326,0.249663802774843,-2.27131951678525,0.0231276425958893,"whiff","left","slider"
"206","zone9",-0.710449297602239,0.291347189939707,-2.43849716810127,0.0147484742520594,"whiff","left","slider"
"207","zone11",0.379428809019613,0.418540390579099,0.906552432119226,0.36464352605966,"whiff","left","slider"
"208","zone12",-1.15629705106921,0.406372467927497,-2.84541188768602,0.00443540287009229,"whiff","left","slider"
"209","zone13",-0.522700513416794,0.342130799489806,-1.52777976784393,0.126567227205738,"whiff","left","slider"
"210","zone14",-0.454671942341856,0.333371242024207,-1.36386072050222,0.17261140530489,"whiff","left","slider"
"211","zone16",-11.1664529456452,184.877094071829,-0.0603993317923246,0.951837590840025,"whiff","left","slider"
"212","zone17",-1.56539586933786,0.39217643108157,-3.99156029091475,0.0000656399954348692,"whiff","left","slider"
"213","dist_x",0.689463920270032,0.097244144682986,7.09003017629155,0.00000000000134082760148504,"whiff","left","slider"
