"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone1",-0.436151008762223,0.25654590508219,-1.70008953611048,0.0891140852216186,"whiff","R","SI"
"zone2",0.064446949799496,0.214853649787126,0.299957435507142,0.764209622987272,"whiff","R","SI"
"zone3",0.43600269068429,0.287397464860245,1.51707215265907,0.129248468155312,"whiff","R","SI"
"zone4",-0.999316122636886,0.224404170723506,-4.45319763627819,0.00000846008150827716,"whiff","R","SI"
"zone6",0.117863570967461,0.238513637418519,0.494158624400359,0.621194158008611,"whiff","R","SI"
"zone7",-0.162280242728259,0.243526844700983,-0.666375170784629,0.505171328744283,"whiff","R","SI"
"zone8",-0.359985085076184,0.213729072338448,-1.68430565452572,0.0921226131745437,"whiff","R","SI"
"zone9",-0.393704569146544,0.291974871763424,-1.34841935803828,0.177523541236219,"whiff","R","SI"
"zone11",-0.450840618523478,0.291796619453901,-1.54505086236855,0.122333961141518,"whiff","R","SI"
"zone12",-0.356222481413233,0.375384963937012,-0.948952450511593,0.342644796331197,"whiff","R","SI"
"zone13",0.226745305549393,0.283169491714657,0.800740588883349,0.423281839603889,"whiff","R","SI"
"zone14",-0.49711941793236,0.333647245834265,-1.48995510719515,0.136236040301372,"whiff","R","SI"
"dist_x",0.49764854061815,0.103873555936777,4.79090694575861,0.00000166029118430511,"whiff","R","SI"
"dist_z",0.185319147938163,0.0751548505132026,2.46583083690131,0.0136695874397558,"whiff","R","SI"
"dist_prop",1.39913228841769,0.368855115179616,3.79317577780201,0.000148732791888492,"whiff","R","SI"
"I(dist_x^2)",-0.717326360640962,0.110633323287577,-6.48381825045933,0.0000000000894299444768597,"whiff","R","SI"
"I(dist_z^2)",-0.471973079188841,0.111249050106585,-4.24249086834137,0.0000221052538602097,"whiff","R","SI"
"release_spin_rate",0.000691745645137439,0.000211448507173535,3.27146147487211,0.00106993164824991,"whiff","R","SI"
