"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"390","David","Robertson",502085,"R","PHI","FC","Cutter",539,50.8,93,2611,0.7,14.5,1,5,133,0.224,0.364,0.335,20.8,24.1,24.6,0.207,0.372,0.331,46.1
"391","Collin","McHugh",543521,"R","ATL","ST","Sweeper",524,48.3,80.2,2784,16.4,42.6,1.7,9,133,0.15,0.242,0.22,32.1,35.3,22.3,0.162,0.247,0.228,27.4
"392","Kutter","Crawford",676710,"R","BOS","FC","Cutter",413,31.9,88.7,2423,4.4,26.7,-1.3,-5,132,0.282,0.427,0.365,24.5,16.7,23.4,0.274,0.449,0.355,37.9
"393","Adrian","Sampson",592716,"R","CHC","FF","4-Seamer",562,33.2,92.5,2075,10.1,17.4,0.4,2,132,0.234,0.371,0.293,20.3,17.4,13.7,0.248,0.427,0.315,34.7
"394","Sonny","Gray",543243,"R","MIN","FF","4-Seamer",528,28.2,92.1,2541,1.5,16.8,2,11,132,0.246,0.339,0.298,15.6,8.3,17.2,0.272,0.358,0.311,32.1
"395","Matt","Moore",519043,"L","TEX","FF","4-Seamer",561,45,93.9,2385,9.1,13.2,1.2,7,132,0.179,0.358,0.31,26.6,22.7,21,0.179,0.31,0.29,36.7
"396","Kyle","Hendricks",543294,"R","CHC","CH","Changeup",413,30.7,79.9,2040,12.4,32.2,0,0,132,0.232,0.392,0.291,37.3,29.5,22.3,0.211,0.336,0.261,29.1
"397","Mychal","Givens",571710,"R","NYM","FF","4-Seamer",526,51.3,93.4,2426,6.9,19.2,0.2,1,132,0.287,0.443,0.362,26.2,31.1,25.3,0.251,0.4,0.33,46.7
"398","Adam","Ottavino",493603,"R","NYM","ST","Sweeper",452,42.8,81,2701,17.8,40.1,3,14,131,0.165,0.289,0.234,38.4,38.2,31.8,0.161,0.232,0.215,20.8
"399","Alex","Lange",656638,"R","DET","CU","Curveball",510,48.8,85.5,2186,0.6,42.9,0.9,4,131,0.19,0.284,0.271,57.8,42.7,36.6,0.174,0.25,0.234,37.1
"400","Brad","Keller",641745,"R","KC","SI","Sinker",517,22.7,93.4,2193,10.4,23.5,-1.5,-8,130,0.381,0.522,0.435,15.5,4.6,11.5,0.299,0.432,0.362,50.9
"401","Josh","Winckowski",670174,"R","BOS","SI","Sinker",425,35.6,94.1,2033,14.6,21.8,-2.1,-9,130,0.353,0.571,0.422,9.5,7.7,12.8,0.3,0.474,0.364,51.4
"402","Zach","Pop",647315,"R","TOR","SI","Sinker",412,76.9,96.5,2069,17,24.5,1.2,5,130,0.282,0.363,0.302,18,13.8,22.5,0.252,0.359,0.286,45.3
"403","Matt","Moore",519043,"L","TEX","CU","Curveball",477,38.2,83.6,2434,4.1,50.2,0.4,2,130,0.217,0.242,0.258,29.5,29.2,19.9,0.208,0.279,0.251,29.3
"404","José","Quintana",500779,"L","STL","CH","Changeup",531,19.5,86.4,1319,11.7,30.8,-2.7,-14,130,0.286,0.403,0.354,27.2,16.2,13.4,0.281,0.397,0.33,36.7
"405","Zack","Wheeler",554430,"R","PHI","SI","Sinker",410,17.4,95.4,2220,16.1,18.6,2.4,10,130,0.238,0.279,0.266,16.1,15.4,19.2,0.233,0.272,0.253,22.5
