"","x","z","response","hand","pitch","pred"
"436",-2,-0.7,"barrel","left","slider",-5.88880520527534
"437",-2,-0.7,"barrel","right","changeup",-2.94077993837154
"438",-2,-0.7,"barrel","right","curveball",-15.9080536452764
"439",-2,-0.7,"barrel","right","fastball",-4.65279425989846
"440",-2,-0.7,"barrel","right","slider",-4.34123781540463
"441",-2,-0.7,"strike","left","changeup",-4.78656822321495
"442",-2,-0.7,"strike","left","curveball",-4.63868031529023
"443",-2,-0.7,"strike","left","fastball",-8.79748528964473
"444",-2,-0.7,"strike","left","slider",-4.13483330635114
"445",-2,-0.7,"strike","right","changeup",-5.55192445351192
"446",-2,-0.7,"strike","right","curveball",-4.59013488138942
"447",-2,-0.7,"strike","right","fastball",-8.9979751182547
"448",-2,-0.7,"strike","right","slider",-3.71677979492392
"449",-2,-0.7,"whiff","left","changeup",-1.80399681226742
"450",-2,-0.7,"whiff","left","curveball",-4.48297401649208
"451",-2,-0.7,"whiff","left","fastball",-5.44046112500918
"452",-2,-0.7,"whiff","left","slider",-5.9811123924095
"453",-2,-0.7,"whiff","right","changeup",-2.42776547562886
"454",-2,-0.7,"whiff","right","curveball",-4.1024795180764
"455",-2,-0.7,"whiff","right","fastball",-4.69727396408421
"456",-2,-0.7,"whiff","right","slider",-3.92769396616103
"457",-2,-0.6,"barrel","left","changeup",-7.00195247757274
"458",-2,-0.6,"barrel","left","curveball",-6.77119615361588
"459",-2,-0.6,"barrel","left","fastball",-5.66130141234128
